Datum;Tijd (CEST);Locatie;Golfhoogte in cm
28-9-2023;22:00;Platform HKZA;80
28-9-2023;22:10;Platform HKZA;84
28-9-2023;22:20;Platform HKZA;77
28-9-2023;22:30;Platform HKZA;70
28-9-2023;22:40;Platform HKZA;71
28-9-2023;22:50;Platform HKZA;72
28-9-2023;23:00;Platform HKZA;75
28-9-2023;23:10;Platform HKZA;77
28-9-2023;23:20;Platform HKZA;74
28-9-2023;23:30;Platform HKZA;74
28-9-2023;23:40;Platform HKZA;72
28-9-2023;23:50;Platform HKZA;72
29-9-2023;00:00;Platform HKZA;77
29-9-2023;00:10;Platform HKZA;76
29-9-2023;00:20;Platform HKZA;76
29-9-2023;00:30;Platform HKZA;78
29-9-2023;00:40;Platform HKZA;75
29-9-2023;00:50;Platform HKZA;73
29-9-2023;01:00;Platform HKZA;75
29-9-2023;01:10;Platform HKZA;81
29-9-2023;01:20;Platform HKZA;85
29-9-2023;01:30;Platform HKZA;91
29-9-2023;01:40;Platform HKZA;94
29-9-2023;01:50;Platform HKZA;94
29-9-2023;02:00;Platform HKZA;92
29-9-2023;02:10;Platform HKZA;89
29-9-2023;02:20;Platform HKZA;86
29-9-2023;02:30;Platform HKZA;87
29-9-2023;02:40;Platform HKZA;89
29-9-2023;02:50;Platform HKZA;91
29-9-2023;03:00;Platform HKZA;91
29-9-2023;03:10;Platform HKZA;89
29-9-2023;03:20;Platform HKZA;91
29-9-2023;03:30;Platform HKZA;92
29-9-2023;03:40;Platform HKZA;93
29-9-2023;03:50;Platform HKZA;94
29-9-2023;04:00;Platform HKZA;99
29-9-2023;04:10;Platform HKZA;98
29-9-2023;04:20;Platform HKZA;98
29-9-2023;04:30;Platform HKZA;101
29-9-2023;04:40;Platform HKZA;96
29-9-2023;04:50;Platform HKZA;89
29-9-2023;05:00;Platform HKZA;95
29-9-2023;05:10;Platform HKZA;94
29-9-2023;05:20;Platform HKZA;88
29-9-2023;05:30;Platform HKZA;86
29-9-2023;05:40;Platform HKZA;84
29-9-2023;05:50;Platform HKZA;86
29-9-2023;06:00;Platform HKZA;89
29-9-2023;06:10;Platform HKZA;89
29-9-2023;06:20;Platform HKZA;91
29-9-2023;06:30;Platform HKZA;93
29-9-2023;06:40;Platform HKZA;91
29-9-2023;06:50;Platform HKZA;98
29-9-2023;07:00;Platform HKZA;99
29-9-2023;07:10;Platform HKZA;99
29-9-2023;07:20;Platform HKZA;102
29-9-2023;07:30;Platform HKZA;104
29-9-2023;07:40;Platform HKZA;105
29-9-2023;07:50;Platform HKZA;104
29-9-2023;08:00;Platform HKZA;102
29-9-2023;08:10;Platform HKZA;99
29-9-2023;08:20;Platform HKZA;105
29-9-2023;08:30;Platform HKZA;104
29-9-2023;08:40;Platform HKZA;105
29-9-2023;08:50;Platform HKZA;107
29-9-2023;09:00;Platform HKZA;97
29-9-2023;09:10;Platform HKZA;91
29-9-2023;09:20;Platform HKZA;91
29-9-2023;09:30;Platform HKZA;91
29-9-2023;09:40;Platform HKZA;93
29-9-2023;09:50;Platform HKZA;89
29-9-2023;10:00;Platform HKZA;86
29-9-2023;10:10;Platform HKZA;90
29-9-2023;10:20;Platform HKZA;91
29-9-2023;10:30;Platform HKZA;90
